"Label (Grouping)","Michigan!!Estimate","Michigan!!Margin of Error","Congressional District 1 (118th Congress), Michigan!!Estimate","Congressional District 1 (118th Congress), Michigan!!Margin of Error","Congressional District 2 (118th Congress), Michigan!!Estimate","Congressional District 2 (118th Congress), Michigan!!Margin of Error","Congressional District 3 (118th Congress), Michigan!!Estimate","Congressional District 3 (118th Congress), Michigan!!Margin of Error","Congressional District 4 (118th Congress), Michigan!!Estimate","Congressional District 4 (118th Congress), Michigan!!Margin of Error","Congressional District 5 (118th Congress), Michigan!!Estimate","Congressional District 5 (118th Congress), Michigan!!Margin of Error","Congressional District 6 (118th Congress), Michigan!!Estimate","Congressional District 6 (118th Congress), Michigan!!Margin of Error","Congressional District 7 (118th Congress), Michigan!!Estimate","Congressional District 7 (118th Congress), Michigan!!Margin of Error","Congressional District 8 (118th Congress), Michigan!!Estimate","Congressional District 8 (118th Congress), Michigan!!Margin of Error","Congressional District 9 (118th Congress), Michigan!!Estimate","Congressional District 9 (118th Congress), Michigan!!Margin of Error","Congressional District 10 (118th Congress), Michigan!!Estimate","Congressional District 10 (118th Congress), Michigan!!Margin of Error","Congressional District 11 (118th Congress), Michigan!!Estimate","Congressional District 11 (118th Congress), Michigan!!Margin of Error","Congressional District 12 (118th Congress), Michigan!!Estimate","Congressional District 12 (118th Congress), Michigan!!Margin of Error","Congressional District 13 (118th Congress), Michigan!!Estimate","Congressional District 13 (118th Congress), Michigan!!Margin of Error"
"Total:","4,107,809","±11,889","357,025","±3,991","311,959","±4,121","304,416","±4,279","311,929","±4,182","311,523","±3,802","306,970","±4,314","314,396","±3,076","","","307,505","±4,361","322,807","±3,980","334,882","±3,808","299,021","±5,694","307,843","±5,496"
"    English only","3,647,835","±13,601","343,281","±3,920","293,613","±4,435","268,158","±4,625","279,343","±4,463","290,505","±3,902","249,959","±4,862","286,304","±3,234","","","284,666","±4,982","266,011","±4,859","270,421","±5,140","248,352","±6,029","265,518","±5,624"
"    Spanish:","144,928","±5,187","4,870","±882","9,279","±1,653","21,265","±1,959","18,625","±2,073","9,666","±1,339","11,225","±1,328","9,415","±1,191","","","7,127","±1,180","8,120","±1,702","11,964","±1,894","6,212","±1,473","21,067","±1,890"
"        Limited English speaking household","17,881","±2,471","386","±202","815","±438","2,344","±779","3,000","±1,145","1,098","±509","1,547","±785","740","±324","","","341","±290","888","±592","1,439","±521","1,456","±662","3,310","±991"
"        Not a limited English speaking household","127,047","±5,510","4,484","±906","8,464","±1,540","18,921","±2,003","15,625","±1,924","8,568","±1,233","9,678","±1,330","8,675","±1,279","","","6,786","±1,167","7,232","±1,660","10,525","±1,903","4,756","±1,195","17,757","±1,715"
"    French, Haitian, or Cajun:","14,241","±1,888","1,734","±512","611","±261","965","±538","875","±627","1,062","±577","1,040","±425","1,193","±625","","","1,003","±468","1,188","±516","1,433","±599","1,412","±623","1,031","±597"
"        Limited English speaking household","1,138","±642","0","±184","97","±157","60","±104","0","±184","23","±39","0","±184","188","±246","","","57","±90","334","±396","53","±88","232","±271","34","±57"
"        Not a limited English speaking household","13,103","±1,784","1,734","±512","514","±225","905","±521","875","±627","1,039","±577","1,040","±425","1,005","±569","","","946","±461","854","±446","1,380","±591","1,180","±575","997","±596"
"    German or other West Germanic languages:","26,151","±2,200","2,037","±514","3,673","±816","2,042","±679","1,698","±557","2,513","±819","2,591","±731","1,910","±617","","","2,915","±824","1,687","±547","2,031","±836","1,047","±624","740","±436"
"        Limited English speaking household","1,455","±522","177","±193","387","±247","328","±291","68","±115","158","±146","0","±184","15","±25","","","42","±32","67","±78","171","±276","0","±184","0","±184"
