Name,Address,Place,Has Received?,Claimed,Notes,Contacted,Lat,Lon
Mexico Town Bakery,"4300 Vernor Hwy, Detroit, MI 48209",Bakery,No,,They have a bulletin,No,42.32102462,-83.09515586
Roti Max Bakery,"14430 Michigan Ave, Dearborn, MI 48126",Bakery,Yes,,Gave to cashier,Yes,42.32063137,-83.18310755
Sheila's Bakery,"800 Perry St, Pontiac, MI 48342",Bakery,Yes,,,Yes,42.65867687,-83.2817903
La Casa Amiga,"76 Williams St, Pontiac, MI 48341",Business,Yes,,,Yes,42.63562394,-83.29903638
All Saints Episcopal Church,"171 W Pike St, Pontiac, MI 48341",Church,Yes,,,Yes,42.67378593,-83.280649
Detroit Cavalry Spanish SDA,"1227 Cavalry St, Detroit, MI 48209",Church,No,,,No,42.31205528,-83.10271399
First Baptish Spanish Church,"3495 Livernois, Detroit, MI 48210",Church,No,,,No,42.3361795,-83.1240762
First Latin American Baptist Church,"2004 Scotten St, Detroit, MI 48209",Church,No,,,No,42.32271209,-83.09484326
Fort Street Presbyterian Church,"631 W Fort St, Detroit, MI 48226",Church,No,,,No,42.32771365,-83.05383662
Mariners' Church,"170 E Jefferson Ave, Detroit, MI 48226",Church,No,,,No,42.3293591,-83.04198247
Motor City Church,"150 Michigan Ave, Detroit, MI 48226",Church,No,,,No,42.34490761,-83.05031625
Old St. Mary's Catholic Church,"646 Monroe St, Detroit, MI 48226",Church,No,,,No,42.3363031,-83.04026772
Sacred Heart Catholic Church,"1000 Eliot St, Detroit, MI 48207",Church,No,,,No,42.3525182,-83.04551956
Santos Church,"1953 Military St, Detroit, MI 48209",Church,No,,,No,42.31663904,-83.10762484
St Aloysius Parish,"1234 Washington Blvd, Detroit, MI 48226",Church,No,,,No,42.33942503,-83.04984821
St Francis D'Assisi Church,"4500 Wesson St, Detroit, MI 48210",Church,No,,,No,42.33441086,-83.117502
St Gabriel's Catholic Church,"8118 W, 8118 Vernor Hwy, Detroit, MI 48209",Church,No,,,No,42.35666153,-83.13146588
St. Hedwig Catholic Church,"3245 Junction Ave, Detroit, MI 48210",Church,No,,,No,42.48244456,-83.1155372
